"MaterialName";"Category";"AdditionalNotes";"Quantity";"NVL";"BEN";"PercentComplete";"Fixture";"AssetNumber";"BEN4LPR";"CurrentState";"IndividuallyAssigned";"LamPartNumber";"LaptopAssignedBEDShift";"LaptopAssignedBENShift";"LaptopAssignedFEDShift";"LaptopAssignedFENShift";"LaptopAssignedMF";"LaptopDepartment";"RecordIDNumber";"SerialNumber";"materialPK"
"Building L - 14";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A3000051";"";"In GIS for Repair";0;"";"Jesse Stephenson <61922640.cccp>";"";"";"";"";"Assembly";959;"pc0lfzp7";1486
"Extech TC Calibrator #5";"Tools- Meters & Pendants";"STRAP UPDATED 3-22-2021
Tech said OT reaction was inconsistent - Either went off too soon or not at all.  See ticket #52375";0;"NVL-21131";"";"";0;"";"";"In DOS for Repair";0;"";"";"";"";"";"";"";1323;"Serial Number: A035060
";1487
"D-9 (2/6, 3/7, 5,9)";"Other (Please describe)";"";7;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2074;"";1488
"Extech TC Calibrator #6";"Tools- Meters & Pendants";"strap added, strap upgraded to 50lb fishing line 12/29/2020
stated bad 2-21-2021";0;"NVL-21130";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1324;"Serial Number: A035022
";1489
"D-9 (2/7)";"Other (Please describe)";"853-307185-001";65;"";"";"";0;"";"";"Available to Loan";0;"853-307185-001";"";"";"";"";"";"";1960;"";1490
"FTConsolidated11";"SWIC Cart";"Tool ID: ?
K-Key: ?
Dock Key: 3B72";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";88;"Chase: 1034020-4016-ACGA000012
ES: 1034020-0317-ACH1001409";1491
"Extech TC Calibrator #7";"Tools- Meters & Pendants";"was dropped screen doesn't turn on and freely moves

JA 3.26.21
This has been deactivated and trashed.";0;"NVL-21253";"";"";0;"";"";"Retired/Out of Service";0;"";"";"";"";"";"";"";1430;"Serial Number: Z389196
";1492
"FTConsolidated12";"SWIC Cart";"Tool ID: F9B616A79E
K-Key: L68110
Dock Key: 3B01";0;"";"1977321A";"70T";0;"";"1977321A";"Unavailable to Loan";0;"";"";"";"";"";"";"";89;"Chase: 1034020-4416-ACGP0000336
ES: 1034020-0417-ACH1002351";1493
"FTConsolidated13";"SWIC Cart";"Tool ID: ?
K-Key: ?
Dock Key: 3B59";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";90;"Chase: 1034020-1117-ACH3002004
ES: 1034020-1117-ACH3002251";1494
"Extech TC Calibrator #8";"Tools- Meters & Pendants";"JA 3.26.21
This has been deactivated and trashed.";0;"NVL-21254";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1426;"Serial Number: Z389193
";1495
"Building L - 15";"SWIC-Supported GIS Laptop";"T460
";1;"";"";"";0;"A205458";"";"Cleanroom Item";0;"";"";"Marjan Mohammadi <62352574.dju8>";"Kevin Johnson <62235073.b8yr>";"";"";"Assembly";983;"pc0jg2t9";1496
"D-9 (2/7, 3/8)";"Other (Please describe)";"03-425108-00";3;"";"";"";0;"";"";"Available to Loan";0;"03-425108-00";"";"";"";"";"";"";1992;"";1497
"D-9 (2/8)";"Other (Please describe)";"";12;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1994;"";1498
"Building L - 16";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205038";"";"Cleanroom Item";0;"";"";"";"";"";"";"Assembly";458;"pc0gz1hm";1499
"FTConsolidated14";"SWIC Cart";"Tool ID: ?
K-Key: L63089
Dock Key: 3A71

";0;"";"2182461A";"81A";0;"";"2182461A";"Unavailable to Loan";0;"";"";"";"";"";"";"";91;"Chase: 1034020-1117-ACH3002012
ES: 1034020-1117-ACH3002255";1500
"D-9 Bulk Cabinet Facilities (2/3, 4/5)";"Other (Please describe)";"";5;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2069;"";1501
"Extech TC Calibrator #9";"Tools- Meters & Pendants";"strap added, strap upgraded to 50lb line 12-29-2020
Dropped and display tweeked. 3-29-2021";0;"NVL-21255";"";"";0;"";"";"Retired/Out of Service";0;"";"";"";"";"";"";"";1427;"Serial Number: Z389191

";1502
"Building L - 17";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"205839";"";"Cleanroom Item";0;"";"Mohammad Torabi Goudarzi <62360343.bbdi>";"Robert Carlson <62269217.c2ph>";"Ryan Bunch <62561590.b5ee>";"Jan Val Dayap <59671725.cdqj>";"";"Assembly";1221;"pc0jwcms";1503
"FTConsolidated15";"SWIC Cart";"Tool ID: ?
K-Key: L66232
Dock Key: 3B64";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";92;"Chase: ?
ES: ?";1504
"Feeler Gauge Kit  #1";"Tools- Gauges & Levels";"missing some of the sizes thrown out 3/31/2021";0;"";"";"";0;"";"";"Retired/Out of Service";0;"";"";"";"";"";"";"";824;"";1505
"D37 (12/31)";"Other (Please describe)";"";17;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1969;"";1506
"FTConsolidated16";"SWIC Cart";"Tool ID: CED556EF23
K-Key: L58319
Dock Key: 3A36";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";93;"Chase: 1034020-1117-ACH3002145
ES: 1034020-1117-ACH3002254";1507
"Feeler Gauge Kit  #2";"Tools- Gauges & Levels";"in L back of fab in drawer label's and bag are gone";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";939;"";1508
"Building L - 18";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A3000027";"";"Cleanroom Item";0;"";"";"";"Tommy Bean <62473643.cmgp>";"Tamie Emerson <61830638.pntc>";"";"Assembly";985;"pc0lfzlw";1509
"FTConsolidated17";"SWIC Cart";"Tool ID: ?
K-Key: L53019
Dock Key: 3B81";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";94;"Chase: 1034020-1017-ACH3000741
ES: 1034020-0417-ACH1001964";1510
"D78 Core/AMPDS";"Other (Please describe)";"853-268807-001";14;"";"";"";0;"";"";"Available to Loan";0;"853-268807-001";"";"";"";"";"";"";1965;"";1511
"DIGITAL MULTIMETER";"Tools- Meters & Pendants";"";1;"";"";"";0;"";"";"Cleanroom Item";0;"";"";"";"";"";"";"";1121;"";1512
"Feeler Gauge Kit  #3";"Tools- Gauges & Levels";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";926;"";1513
