"MaterialName";"Category";"AdditionalNotes";"Quantity";"NVL";"BEN";"PercentComplete";"Fixture";"AssetNumber";"BEN4LPR";"CurrentState";"IndividuallyAssigned";"LamPartNumber";"LaptopAssignedBEDShift";"LaptopAssignedBENShift";"LaptopAssignedFEDShift";"LaptopAssignedFENShift";"LaptopAssignedMF";"LaptopDepartment";"RecordIDNumber";"SerialNumber";"materialPK"
"525-293359-001";"Other (Please describe)";"HD-26-J100";23;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2077;"";578
"920-027843-002";"Other (Please describe)";"3/8"" Male to 3/8"""" Port Connector""";20;"";"";"";0;"";"";"Available to Loan";0;"920-027843-002";"";"";"";"";"";"";1858;"";579
"853-207071-001";"Other (Please describe)";"D-15 (1/9, 2/10, 3/11)";42;"";"";"";0;"";"";"Available to Loan";0;"853-207071-001";"";"";"";"";"";"";1958;"";580
"A204903";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A204903";"";"Unavailable to Loan";1;"";"William D'Aran <58851930.n2bx>";"";"";"";"";"Final Test";1218;"PCOFE5V3 ";581
"853-207620-002";"Other (Please describe)";"Continuous Ampole Series Controller for VXL MD Mod ";15;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2132;"";582
"920-027843-017";"Other (Please describe)";"3/4"" Male to 3/8"""" Port Connector""";24;"";"";"";0;"";"";"Available to Loan";0;"920-027843-017";"";"";"";"";"";"";1840;"";583
"A204904";"SWIC-Supported GIS Laptop";"T460
BlueScreen. 
";0;"";"";"";0;"A204904";"";"In GIS for Repair";0;"";"";"";"";"";"";"Assembly";896;"PC0FE5U0";584
"853-230990-001";"Other (Please describe)";"D-15 (8/15)";3;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2032;"";585
"A204908";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A204908";"";"Retired/Out of Service";0;"";"";"";"";"";"";"Final Test";1326;"PC0FE5ST";586
"920-027843-019";"Other (Please describe)";"3/4"" Port Connector to 3/4"""" Male""";11;"";"";"";0;"";"";"Available to Loan";0;"920-027843-019";"";"";"";"";"";"";1836;"";587
"853-256029-002";"Cables (Provide part number)";"EIOC Pneumatic D Cable";7;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2206;"";588
"A204909";"SWIC-Supported GIS Laptop";"T460
Assigned to Anh Tran from BED ";0;"";"";"";0;"A204909";"";"In GIS for Repair";0;"";"";"";"Emalee Denhem <62225064.beju>";"";"";"Assembly";1227;"pc0fe5t8";589
"920-027978-006";"Other (Please describe)";"1"" Port Connector to 3/4"""" Male""";27;"";"";"";0;"";"";"Available to Loan";0;"920-027978-006";"";"";"";"";"";"";1829;"";590
"853-264863-002";"Other (Please describe)";"3 Pin Molex";53;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2124;"";591
"A204911";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A204911";"";"Unavailable to Loan";1;"";"";"Dylan Wilson <59833611.dny3>";"";"";"";"Assembly";467;"";592
"853-268807-001";"Other (Please describe)";"D78/A4J2";3;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2046;"";593
"A204914";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A204914";"";"Unavailable to Loan";1;"";"Justin Humphreys <60561275.cug7>";"";"";"";"";"Assembly";457;"";594
"920-049417-009";"Other (Please describe)";"FTG, Adapter, 3/4 Tube to 1-1/16";2;"";"";"";0;"";"";"Available to Loan";0;"920-049417-009";"";"";"";"";"";"";1788;"";595
"A204916";"SWIC-Supported GIS Laptop";"T460
";0;"";"";"";0;"A204916";"";"Retired/Out of Service";0;"";"";"";"";"";"";"Assembly";898;"PC0FE5VA";596
"853-284824-001";"Cables (Provide part number)";"Strata GBE Cable";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2168;"";597
"920-060420-001";"Other (Please describe)";"1/2"" Male to 1/2"""" Male Union""";17;"";"";"";0;"";"";"Available to Loan";0;"920-060420-001";"";"";"";"";"";"";1851;"";598
"A204919";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A204919";"";"Past Due";0;"";"";"";"";"";"";"";1129;"";599
"853-28581-001";"Other (Please describe)";"Female D-25 (12/25)";1;"";"";"";0;"";"";"Available to Loan";0;"853-28581-001";"";"";"";"";"";"";2004;"";600
"A204980";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A204980";"";"Unavailable to Loan";1;"";"";"Cody Brewton <61967285.bsve>";"";"";"";"Final Test";668;"pc0gdyhk";601
"920-060773-021";"Other (Please describe)";"Adapter, FRAC Tube 1 to 3/4 NPT";2;"";"";"";0;"";"";"Available to Loan";0;"920-060773-021";"";"";"";"";"";"";1758;"";602
"853-290857-002";"Other (Please describe)";"D-15 (12/13)";15;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2026;"";603
"525-293360-001";"Other (Please describe)";"HD-25 (1/2, 6/7, 10/11)";8;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2083;"";604
"A204982";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A204982";"";"Available to Loan";1;"";"";"";"";"";"";"Final Test";553;"";605
"853-297206-001";"Other (Please describe)";"RF Rack Power Cable Splitter";6;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2210;"";606
"525-313319-001";"Other (Please describe)";"D-15 (4/5)";16;"";"";"";0;"";"";"Available to Loan";0;"525-313319-001";"";"";"";"";"";"";1986;"";607
"920-066387-001";"Other (Please describe)";"1/2"" VCR x 1/2 SWGLK BLKHD""";15;"";"";"";0;"";"";"Available to Loan";0;"920-066387-001";"";"";"";"";"";"";1753;"";608
"A204983";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A204983";"";"Available to Loan";1;"";"";"";"";"";"";"Final Test";554;"";609
"853-298246-001";"Cables (Provide part number)";"VDP Power Cable";3;"";"";"";0;"";"";"Available to Loan";0;"VDP Power Cable";"";"";"";"";"";"";1981;"";610
"525-323799-001";"Other (Please describe)";"HD-15 (6/11, 7/12, 8/13, 9/14, 10/15)";15;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2075;"";611
"A204990";"SWIC-Supported GIS Laptop";"T450";0;"";"";"";0;"A204990";"";"Unavailable to Loan";1;"";"Kevin Hashim <61883192.brh2>";"";"";"";"";"Final Test";559;"";612
"920-068477-002";"Other (Please describe)";"3/8"" Male to 3/8"""" Tube 90 degree Elbow""";40;"";"";"";0;"";"";"Available to Loan";0;"920-068477-002";"";"";"";"";"";"";1861;"";613
"853-298247-001";"Cables (Provide part number)";"HF Generator Power Cable";5;"";"";"";0;"";"";"Available to Loan";0;"HF Generator Power Cable";"";"";"";"";"";"";1982;"";614
"525-337906-001";"Other (Please describe)";"Heater Resistance Cable, TST, FXTR, HTR, ULPB";1;"";"";"";0;"";"";"Available to Loan";0;"525-337906-001";"";"";"";"";"";"";1955;"";615
"A204994";"SWIC-Supported GIS Laptop";"T460- GIS sent it for Lenovo service";0;"";"";"";0;"A204994";"";"In GIS for Repair";0;"";"";"";"";"";"";"Final Test";562;"";616
"853-298248-001";"Cables (Provide part number)";"LF Generator Power Cable";3;"";"";"";0;"";"";"Available to Loan";0;"LF Generator Power Cable";"";"";"";"";"";"";1983;"";617
"525-A21802-001";"Other (Please describe)";"Vacuum Jumper (1-4) Strata HX";14;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2103;"";618
"920-091427-011";"Other (Please describe)";"3/8"" Male to 1/4"""" Male""";1;"";"";"";0;"";"";"Available to Loan";0;"920-091427-011";"";"";"";"";"";"";1871;"";619
"A204996";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A204996";"";"In GIS for Repair";1;"";"";"";"";"";"";"Final Test";564;"";620
"853-298455-001";"Other (Please describe)";"D-25 (12/25)";25;"";"";"";0;"";"";"Available to Loan";0;"853-298455-001";"";"";"";"";"";"";1961;"";621
"525-A21805-001";"Other (Please describe)";"Vacuum Jumper (B-C) Strata HX";25;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2102;"";622
"A205088";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205088";"";"Unavailable to Loan";1;"";"";"";"David Luna <58546726.daay>";"";"";"Final Test";565;"";623
"920-091427-018";"Other (Please describe)";"3/4"" Male to 1/4"""" Male Union""";3;"";"";"";0;"";"";"Available to Loan";0;"920-091427-018";"";"";"";"";"";"";1834;"";624
"853-305550-001";"Other (Please describe)";"D-15 (2/9, 3/10, 4/11, 6/13)";17;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2022;"";625
"525-A25706-001";"Other (Please describe)";"D-9 (4/8)";18;"";"";"";0;"";"";"Available to Loan";0;"525-A25706-001";"";"";"";"";"";"";1990;"";626
"853-305551-001";"Other (Please describe)";"D-15 (5/12)";26;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2020;"";627
"525-A25712-01";"Other (Please describe)";"Chamber Heater TC to OC";9;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2107;"";628
"920-091427-019";"Other (Please describe)";"3/4"" Male to 3/8"""" Male Union""";15;"";"";"";0;"";"";"Available to Loan";0;"920-091427-019";"";"";"";"";"";"";1847;"";629
"853-307185-001";"Other (Please describe)";"ESC Jumper Kit";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2197;"";630
"525-A40415-01";"Other (Please describe)";"PED STN 1, 2, 4 TC to OC";10;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2106;"";631
"853-313002-001";"Other (Please describe)";"D-15 (3/10, 4/11, 5/12, 6/13)";6;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2024;"";632
"920-091525-009";"Other (Please describe)";"3/4"" Male to 3/4"""" Male Union""";13;"";"";"";0;"";"";"Available to Loan";0;"920-091525-009";"";"";"";"";"";"";1846;"";633
"525-A44464-01";"Other (Please describe)";"Leak Detect Jumper";9;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2104;"";634
"853-313320-001";"Other (Please describe)";"D-15 (1/4)";17;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2030;"";635
"525-A46520-001";"Other (Please describe)";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2136;"S5R Heater Resistance Adapter";636
"920-091525-011";"Other (Please describe)";"1"" Male to Male Union""";6;"";"";"";0;"";"";"Available to Loan";0;"920-091525-011";"";"";"";"";"";"";1830;"";637
"A205090";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205090";"";"Missing/Lost";0;"";"";"";"Jeff Burton <60590952.b5pz>";"";"";"Assembly";1286;"";638
"853-313322-001";"Other (Please describe)";"D-15 (2/9, 3/10, 4/11, 5/12, 7/14)";13;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2028;"";639
"525-A46759-01";"Other (Please describe)";"PED STN 3TC to OC";10;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2105;"";640
"A205247";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205247";"";"Unavailable to Loan";1;"";"Brian Breneman <59153521.byeh>";"";"";"";"";"Final Test";566;"";641
"920-092071-010";"Other (Please describe)";"1/4"" Male to 1/4"""" Port Connector""";13;"";"";"";0;"";"";"Available to Loan";0;"920-092071-010";"";"";"";"";"";"";1864;"";642
"853-316687-001";"Other (Please describe)";"D9 (5/9)";8;"";"";"";0;"";"";"Available to Loan";0;"853-316687-001";"";"";"";"";"";"";1971;"";643
"525-A61026-001";"Other (Please describe)";"D-25 Abatement Jumper (1/23, 2/24, 3/25, 8/21, 9/22)";30;"";"";"";0;"";"";"Available to Loan";0;"525-A61026-001";"";"";"";"";"";"";2008;"";644
"A205434";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205434";"";"Unavailable to Loan";1;"";"";"";"Steven Talarowski <60341865.c38v>";"";"";"Final Test";567;"";645
"853-316699-001";"Other (Please describe)";"D-9 (3/7)";30;"";"";"";0;"";"";"Available to Loan";0;"853-316699-001";"";"";"";"";"";"";1959;"";646
"920-092071-012";"Other (Please describe)";"1/4"" Male to 3/8"""" Port Connector""";2;"";"";"";0;"";"";"Available to Loan";0;"920-092071-012";"";"";"";"";"";"";1863;"";647
"525-A61026-002";"Other (Please describe)";"D-25 (2/11, 3/12, 8/21, 9/22, 10/23)";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2085;"";648
"853-317011-001";"Other (Please describe)";"D-9 (5/6)";18;"";"";"";0;"";"";"Available to Loan";0;"853-317011-001";"";"";"";"";"";"";1964;"";649
"920-092071-023";"Other (Please describe)";"1/2"" Male to 1/4"""" Port Connector""";12;"";"";"";0;"";"";"Available to Loan";0;"920-092071-023";"";"";"";"";"";"";1850;"";650
"525-A68681-001";"Other (Please describe)";"D15 (4/7)";10;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2025;"";651
"853-317013-001";"Other (Please describe)";"D-9 (1/16)";25;"";"";"";0;"";"";"Available to Loan";0;"853-317013-001";"";"";"";"";"";"";1976;"";652
"525-A72776-001";"Other (Please describe)";"D-15 (1/2, 3/4, 5/6, 7/8, 9/10)";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2064;"";653
"920-092071-025";"Other (Please describe)";"1/2"" Male to 1/2"""" Port Connector""";11;"";"";"";0;"";"";"Available to Loan";0;"920-092071-025";"";"";"";"";"";"";1853;"";654
"853-317014-001";"Other (Please describe)";"D-9 (2/6, 3/7, 4/8, 5/9)";11;"";"";"";0;"";"";"Available to Loan";0;"853-317014-001";"";"";"";"";"";"";2011;"";655
"525-A82344-001";"Other (Please describe)";"D9 (1/3)";10;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2014;"";656
"853-317015-001";"Other (Please describe)";"D-9 (1/5)";17;"";"";"";0;"";"";"Available to Loan";0;"853-317015-001";"";"";"";"";"";"";1973;"";657
"538DDU50S";"Other (Please describe)";"50 Pin Female";13;"";"";"";0;"";"";"Available to Loan";0;"MFG# 538DDU50S";"";"";"";"";"";"";1915;"";658
"853-317016-001";"Other (Please describe)";"D-9 (2/7, 5/8)";3;"";"";"";0;"";"";"Available to Loan";0;"853-317016-001";"";"";"";"";"";"";2013;"";659
"5427UB";"Cables (Provide part number)";"1/4"" 90 Degree AWG Lug""";4;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1704;"";660
"853-317018-001";"Other (Please describe)";"D9 (2/6, 3/7, 4/8/9)";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2015;"";661
"A205435";"SWIC-Supported GIS Laptop";"";1;"";"";"";0;"A205435";"";"Cleanroom Item";0;"";"";"";"";"";"";"Final Test";1641;"";662
"551-015";"Other (Please describe)";"Leak Check Remote";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2160;"";663
"853-317019-001";"Other (Please describe)";"D-9 (3/7, 5/9)";8;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2073;"";664
"A205459";"SWIC-Supported GIS Laptop";"T460

";0;"";"";"";0;"A205459";"";"On Loan Offsite";1;"";"Steven Chung <59870555.nr9d>";"";"";"";"";"DOS";1491;"PC0JG2SR";665
"853-317020-001";"Other (Please describe)";"D-15 (2/9, 4/11, 5/12)";6;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2023;"";666
"A205460";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205460";"";"Unavailable to Loan";1;"";"";"";"";"Phala Chet <59130675.cnw4>";"";"Final Test";460;"";667
"853-317021-001";"Other (Please describe)";"D-15 (2/9, 4/11)";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2017;"";668
"A205469";"SWIC-Supported GIS Laptop";"lent to GIS for them to test USB lockout SW
";0;"";"";"";0;"A205469";"";"On Loan Offsite";0;"";"";"";"";"";"";"";924;"";669
"5745173-4";"Other (Please describe)";"25 Pin Backshell";0;"";"";"";0;"";"";"Unavailable to Loan";0;"MFG# 5745173-4";"";"";"";"";"";"";1920;"";670
"A205476";"SWIC-Supported GIS Laptop";"";0;"";"";"";0;"A205476";"";"In GIS for Repair";0;"";"";"Michael Robertson <61869971.di48>";"";"";"";"Assembly";996;"";671
"5748677-1";"Other (Please describe)";"9 Pin Backshell";1;"";"";"";0;"";"";"Available to Loan";0;"MFG# 5748677-1";"";"";"";"";"";"";1924;"";672
"853-317024-001";"Other (Please describe)";"D-15 (2/9, 3/10, 4/11, 5/12)";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2019;"";673
"A205478";"SWIC-Supported GIS Laptop";"T470";0;"";"";"";0;"A205478";"";"Retired/Out of Service";1;"";"";"";"";"";"";"Final Test";994;"";674
"5749193-1";"Other (Please describe)";"50 Pin Backshell";2;"";"";"";0;"";"";"Available to Loan";0;"MFG# 5749193-1";"";"";"";"";"";"";1930;"";675
"853-317025-001";"Other (Please describe)";"D-15 (4/11)";6;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2021;"";676
"A205578";"SWIC-Supported GIS Laptop";"";1;"";"";"";0;"A205578";"";"Cleanroom Item";0;"";"";"";"";"";"";"Assembly";1647;"";677
"853-317027-001";"Other (Please describe)";"D-25 (9/22, 11/24, 12/25)";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2086;"";678
"A2055881";"SWIC-Supported GIS Laptop";"In SWIC  ";0;"";"";"";0;"A205881";"";"Missing/Lost";0;"";"";"Skylar Severson <61931797.c7f9>";"";"";"";"Assembly";1334;"";679
"57N";"SWIC-Supported GIS Laptop";"T470
";1;"";"";"";0;"A301188";"";"Cleanroom Item";0;"";"";"Chris Hedges <60341628.zqsn>";"";"";"";"Final Test";671;"PF0U5R2P";680
"853-317765-001";"Other (Please describe)";"D-25 Pin (1/4, 4/17)";30;"";"";"";0;"";"";"Available to Loan";0;"853-317765-001";"";"";"";"";"";"";1972;"";681
"A205684";"SWIC-Supported GIS Laptop";"";1;"";"";"";0;"A205684";"";"Cleanroom Item";0;"";"";"";"";"";"";"Final Test";1644;"";682
"5NRY0";"Other (Please describe)";"SMC 1/8"" Tube Stem Orange""";14;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2061;"";683
"A205724";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205724";"";"Unavailable to Loan";1;"";"";"";"";"Travis Morris <60342052.dve6>";"";"Sabre";579;"";684
"5NRY3";"Other (Please describe)";"SMC 1/4"" Tube Stem Orange""";25;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2062;"";685
"A205726";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205726";"";"Unavailable to Loan";1;"";"";"Jaishiv Chand <60354731.jnvs>";"";"";"";"Final Test";407;"";686
"853-317766-001";"Other (Please describe)";"D-15 (2/10, 5/13, 8/15)";18;"";"";"";0;"";"";"Available to Loan";0;"853-317766-001";"";"";"";"";"";"";1970;"";687
"60-119194-00";"Other (Please describe)";"1/2"" Port to 1/2"""" NPT""";1;"";"";"";0;"";"";"Available to Loan";0;"60-119194-00";"";"";"";"";"";"";1778;"";688
"A205727";"SWIC-Supported GIS Laptop";"T460(at GIS)";0;"";"";"";0;"A205727";"";"In GIS for Repair";0;"";"";"";"";"";"";"Final Test";408;"";689
"853-328429-003";"Other (Please describe)";"AC Jumper, DTC";16;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2034;"";690
"A205732";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205732";"";"Missing/Lost";0;"";"";"";"";"";"";"Final Test";410;"";691
"853-328430-003";"Other (Please describe)";"AC Jumper, DTC";16;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2035;"";692
"60-119288-00";"Other (Please describe)";"Y Reduction Union SMC 1/8, 1/8, 1/4";19;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2054;"";693
"A205733";"SWIC-Supported GIS Laptop";"T460 
Assigned to Bryan Ravencraft BED";0;"";"";"";0;"A205733";"";"Missing/Lost";0;"";"";"";"";"";"";"Final Test";582;"";694
"A205734";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205734";"";"Unavailable to Loan";1;"";"";"";"";"Cory Macaulay <59818534.cykn>";"";"Final Test";583;"";695
"920-092945-006";"Other (Please describe)";"FTG, CAP 3/8""""";4;"";"";"";0;"";"";"Available to Loan";0;"920-092945-006";"";"";"";"";"";"";1801;"";696
"A205737";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205737";"";"Unavailable to Loan";1;"";"Kristlyn Steel <62387598.chff>";"";"";"";"";"Final Test";586;"";697
"853-336270-001";"Other (Please describe)";"Cable, SIG, 10C4, Pneumatic G, DPK, EXT";3;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2212;"";698
"60-179309-00";"Other (Please describe)";"Male Elbow 1"" tube OD x 3/4"""" Male NPT""";3;"";"";"";0;"";"";"Available to Loan";0;"60-179309-00";"";"";"";"";"";"";1759;"";699
"A205738";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205738";"";"Unavailable to Loan";1;"";"";"";"";"Tom Edemann <60340228.d2fr>";"";"Final Test";587;"";700
"663-290162-001";"Other (Please describe)";"PED Leveling Battery";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2157;"";701
"A205739";"SWIC-Supported GIS Laptop";"";1;"";"";"";0;"A205739";"";"Cleanroom Item";0;"";"";"";"";"";"";"Final Test";1645;"";702
"920-093046-001";"Other (Please describe)";"1/4"" Male to 1/4"""" Male Union""";12;"";"";"";0;"";"";"Available to Loan";0;"920-093046-001";"";"";"";"";"";"";1862;"";703
"853-336271-001";"Other (Please describe)";"Cable, AC, AUX, LPB, AMPDS, EXT";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2213;"";704
"A205740";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205740";"";"Unavailable to Loan";1;"";"";"";"Jeff Eckert <59147144.bi89>";"";"";"Final Test";589;"";705
"853-345821-001";"Other (Please describe)";"TC to Male DSUB";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2119;"";706
"668-006723-001";"Other (Please describe)";"CPC CLP Shell";6;"";"";"";0;"";"";"Available to Loan";0;"668-006723-001";"";"";"";"";"";"";1942;"";707
"920-126052-009";"Other (Please describe)";"3/4"" Male to Male 45 degree Elbow""";7;"";"";"";0;"";"";"Unavailable to Loan";0;"920-126052-009";"";"";"";"";"";"";1874;"";708
"A205744";"SWIC-Supported GIS Laptop";"T460 - Screen Damaged";0;"";"";"";0;"A205744";"";"Unavailable to Loan";1;"";"";"";"";"Luis Franco <59709053.bupr>";"";"Sabre";591;"";709
"668-006723-007";"Other (Please describe)";"CLP CPC Straight Shell";7;"";"";"";0;"";"";"Available to Loan";0;"668-006723-007";"";"";"";"";"";"";1932;"";710
"920-132402-001";"Other (Please describe)";"1"" Port Connector to 1/2"""" Male""";11;"";"";"";0;"";"";"Available to Loan";0;"920-132402-001";"";"";"";"";"";"";1837;"";711
"A205747";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205747";"";"Cleanroom Item";1;"";"";"Greg Mustoe <60340244.qwzz>";"";"";"";"Final Test";592;"";712
"853-346526-001";"Other (Please describe)";"TC to Female DSUB";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";2117;"";713
"A205748";"SWIC-Supported GIS Laptop";"T460
Formally Dry Test 44N.";1;"";"";"";0;"A205748";"";"Cleanroom Item";0;"";"";"";"";"William Malasavanh <60342042.cswe>";"";"Sabre";593;"";714
"920-172013-001";"Other (Please describe)";"1"" Male to 3/4"""" Port Connector""";12;"";"";"";0;"";"";"Available to Loan";0;"920-172013-001";"";"";"";"";"";"";1827;"";715
"668-006724-005";"Other (Please describe)";"16P CPC Female Connector";13;"";"";"";0;"";"";"Available to Loan";0;"668-006724-005";"";"";"";"";"";"";1943;"";716
"853-376371-001";"Other (Please describe)";"D-78 Core/AMPDS";15;"";"";"";0;"";"";"Available to Loan";0;"853-376371-001";"";"";"";"";"";"";1966;"";717
"A205757";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205757";"";"Unavailable to Loan";1;"";"";"";"";"Carlos Cortes <62047088.di2v>";"";"Sabre";502;"PC0JWCU5";718
"668-094907-015";"Other (Please describe)";"15 HD Pin Male";55;"";"";"";0;"";"";"Available to Loan";0;"668-094907-015";"";"";"";"";"";"";1929;"";719
"920-181210-001";"Other (Please describe)";"FTG, MGFS, 1/4"" FVCR Cap w/lanyard""";64;"";"";"";0;"";"";"Available to Loan";0;"920-181210-001";"";"";"";"";"";"";1743;"";720
"A205760";"SWIC-Supported GIS Laptop";"";1;"";"";"";0;"A205760";"";"Cleanroom Item";0;"";"";"Ryan Keo <62891424.njvs>";"";"";"";"Assembly";1648;"";721
"A205764";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205764";"";"Unavailable to Loan";1;"";"";"";"";"Luis Bettencourt <59105998.cetg>";"";"Assembly";462;"";722
"920-198385-001";"Other (Please describe)";"SMC 1/4"" Union""";47;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2055;"";723
"668-094907-026";"Other (Please describe)";"26 HD Pin Male";16;"";"";"";0;"";"";"Available to Loan";0;"668-094907-026";"";"";"";"";"";"";1928;"";724
"A205778";"SWIC-Supported GIS Laptop";"T460
Will not connect to docking station.";0;"";"";"";0;"A205778";"";"In GIS for Repair";0;"";"";"";"";"";"";"Assembly";438;"";725
"668-120236-001";"Other (Please describe)";"Female, Quick Change, Bulkhead, QC, M";53;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2149;"";726
"920-213958-01";"Other (Please describe)";"(DT-E Only) RF Filter Box Cooling Line";9;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2116;"";727
"A205787";"SWIC-Supported GIS Laptop";"";0;"";"";"";0;"A205787";"";"Unavailable to Loan";1;"";"";"";"Tristan Hobson <60342035.ek2w>";"";"";"Final Test";818;"T460";728
"A205837";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205837";"";"In GIS for Repair";0;"";"";"";"";"";"";"Final Test";597;"";729
"920-261992-011";"Other (Please describe)";"SMC Reducing Union 1/4"" to 3/8""""""";18;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2057;"";730
"668-199018-001";"Other (Please describe)";"LC Female to HN Male";9;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2181;"";731
"A205841";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"A205841";"";"Retired/Out of Service";0;"";"Tony Bush <62199418.bi3e>";"";"";"";"";"Final Test";600;"";732
"A205849";"SWIC-Supported GIS Laptop";"T460(at GIS)";0;"";"";"";0;"A205849";"";"Missing/Lost";0;"";"";"";"";"";"";"Final Test";415;"";733
"920-266835-001";"Other (Please describe)";"3/4"" Male to 1/2"""" Male Union""";12;"";"";"";0;"";"";"Available to Loan";0;"920-266835-001";"";"";"";"";"";"";1839;"";734
